Date,Open,High,Low,Close,Volume,Ticker,Year-Month
1/27/21,870.35,891.5,858.66,864.16,27333955,TSLA,2021-1
1/28/21,820,848,801,835.43,26378048,TSLA,2021-1
1/29/21,830,842.41,780.1,793.53,34990754,TSLA,2021-1
1/4/21,274.78,275,265.2,268.94,15106113,FB,2021-1
1/5/21,268.29,272.4,268.21,270.97,9871557,FB,2021-1
1/6/21,262,267.75,260.01,263.31,24354149,FB,2021-1
1/7/21,265.9,271.61,264.78,268.74,15789756,FB,2021-1
1/8/21,268.31,268.95,263.18,267.57,18528251,FB,2021-1
1/11/21,260.48,263.47,255.9,256.84,30412286,FB,2021-1
1/12/21,256.63,259.72,250.3,251.09,26449943,FB,2021-1
1/13/21,251.55,253.95,249.2,251.64,19528938,FB,2021-1
1/14/21,253.4,255.03,244.61,245.64,29739404,FB,2021-1
1/15/21,247.9,253.86,247.16,251.36,24942930,FB,2021-1
1/19/21,256.9,262.2,252.72,261.1,28028546,FB,2021-1
1/20/21,268.93,270.32,263.6,267.48,25199919,FB,2021-1
1/21/21,269.26,273.6,267.49,272.87,20838687,FB,2021-1
1/22/21,272.01,278.47,272,274.5,21954042,FB,2021-1
1/25/21,278.14,280.1,271.51,278.01,19086990,FB,2021-1
1/26/21,278.14,285.39,277.81,282.05,19373636,FB,2021-1
1/27/21,282.53,283.45,268.12,272.14,35346194,FB,2021-1
1/28/21,277.18,286.79,264.7,265,37758844,FB,2021-1
1/29/21,265.3,266.56,254.85,258.33,30389499,FB,2021-1
2/1/21,133.75,135.38,130.93,134.14,106239823,AAPL,2021-2
2/2/21,135.73,136.31,134.61,134.99,83305367,AAPL,2021-2
2/3/21,135.76,135.77,133.61,133.94,89880937,AAPL,2021-2
2/4/21,136.3,137.4,134.59,137.39,84183061,AAPL,2021-2
2/5/21,137.35,137.42,135.86,136.76,75693830,AAPL,2021-2
2/8/21,136.03,136.96,134.92,136.91,71297214,AAPL,2021-2
2/9/21,136.62,137.88,135.85,136.01,76774213,AAPL,2021-2
2/10/21,136.48,136.99,134.4,135.39,73046563,AAPL,2021-2
2/11/21,135.9,136.39,133.77,135.13,64280029,AAPL,2021-2
2/12/21,134.35,135.53,133.69,135.37,60145130,AAPL,2021-2
2/16/21,135.49,136.01,132.79,133.19,80576316,AAPL,2021-2
2/17/21,131.25,132.22,129.47,130.84,98085249,AAPL,2021-2
2/18/21,129.2,130,127.41,129.71,96856748,AAPL,2021-2
2/19/21,130.24,130.71,128.8,129.87,87668834,AAPL,2021-2
2/22/21,128.01,129.72,125.6,126,103916419,AAPL,2021-2
2/23/21,123.76,126.71,118.39,125.86,158273022,AAPL,2021-2
2/24/21,124.94,125.56,122.23,125.35,111039904,AAPL,2021-2
2/25/21,124.68,126.46,120.54,120.99,148199540,AAPL,2021-2
2/26/21,122.59,124.85,121.2,121.26,164560394,AAPL,2021-2
2/1/21,1853.57,1922.39,1850.93,1901.35,1602182,GOOG,2021-2
2/2/21,1922.56,1955.76,1914.49,1927.51,2273723,GOOG,2021-2
2/3/21,2073,2116.5,2018.38,2070.07,4118170,GOOG,2021-2
2/4/21,2068.89,2078.55,2042.59,2062.37,1852329,GOOG,2021-2
